# Title : in-situ platforms catalog
# Description : catalog of available in-situ platforms
# Project : Copernicus Marine In Situ TAC
# Format : 1.4
# Date of update : 2021-02-12T01:15:31Z
# platform_code,date_creation,date_update,wmo_platform_code,data_source,institution,institution_edmo_code,parameters,last_latitude_observation,last_longitude_observation,last_date_observation
10005,2019-09-28T08:40:55Z,2019-09-28T08:40:55Z,10005,GL_PR_XX_10005_YYYYMMDD GL_PR_XX_10005_YYYYMM GL_PR_XX_10005,Germany (Unknown), ,DC_REFERENCE DATA_MODE DIRECTION DEPH TEMP,54.00000,8.11000,2019-09-28T08:40:55Z
18189002,2019-09-08T04:51:59Z,2019-09-08T04:51:59Z,18189002,GL_PR_XB_18189002_YYYYMMDD GL_PR_XB_18189002_YYYYMM GL_PR_XB_18189002,Unknown institution, ,DC_REFERENCE DATA_MODE DIRECTION DEPH PRES TEMP SVEL,11.83330,-77.90000,2019-09-08T04:51:59Z
18189100,2019-05-11T18:41:09Z,2019-05-11T18:41:09Z,18189100,GL_PR_XB_18189100_YYYYMMDD GL_PR_XB_18189100_YYYYMM GL_PR_XB_18189100,Unknown institution, ,DC_REFERENCE DATA_MODE DIRECTION DEPH PRES TEMP SVEL,17.28330,-69.88330,2019-05-11T18:41:09Z
18189102,2019-05-11T18:41:09Z,2019-05-11T18:41:09Z,18189102,GL_PR_XB_18189102_YYYYMMDD GL_PR_XB_18189102_YYYYMM GL_PR_XB_18189102,Unknown institution, ,DC_REFERENCE DATA_MODE DIRECTION DEPH PRES TEMP SVEL,2.98000,-178.80000,2019-05-11T18:41:09Z
18189203,2019-08-31T12:13:16Z,2019-08-31T12:13:16Z,18189203,GL_PR_XB_18189203_YYYYMMDD GL_PR_XB_18189203_YYYYMM GL_PR_XB_18189203,Unknown institution, ,DC_REFERENCE DATA_MODE DIRECTION DEPH PRES TEMP,17.18330,-76.58330,2019-08-31T12:13:16Z
18IS0600,2019-05-11T18:58:12Z,2019-05-11T18:58:12Z,18IS0600,GL_PR_XB_18IS0600_YYYYMMDD GL_PR_XB_18IS0600_YYYYMM GL_PR_XB_18IS0600,Unknown institution, ,DC_REFERENCE DATA_MODE DIRECTION DEPH TEMP,42.00000,-48.00000,2019-05-11T18:58:12Z
18MP0500,2019-05-11T18:59:37Z,2019-05-11T18:59:37Z,18MP0500,GL_PR_XB_18MP0500_YYYYMMDD GL_PR_XB_18MP0500_YYYYMM GL_PR_XB_18MP0500,Unknown institution, ,DC_REFERENCE DATA_MODE DIRECTION DEPH TEMP,35.88330,-49.16670,2019-05-11T18:59:37Z
18MP9800,2019-05-11T18:59:37Z,2019-05-11T18:59:37Z,18MP9800,GL_PR_XB_18MP9800_YYYYMMDD GL_PR_XB_18MP9800_YYYYMM GL_PR_XB_18MP9800,Unknown institution, ,DC_REFERENCE DATA_MODE DIRECTION DEPH TEMP,34.65000,-44.20000,2019-05-11T18:59:37Z
3901940,2019-05-11T03:59:04Z,2019-05-15T18:45:48Z,3901940,GL_PR_PF_3901940_201710_YYYYMMDD GL_PR_PF_3901940_201710_YYYYMM GL_PR_PF_3901940_201710,Euro-Argo,4614,DC_REFERENCE DATA_MODE DIRECTION VERTICAL_SAMPLING_SCHEME PRES TEMP PSAL,54.55919,18.00244,2019-05-15T18:45:48Z
3901941,2020-12-06T19:06:37Z,2021-02-08T12:14:56Z,3901941,GL_PR_PF_3901941_201909_YYYYMMDD GL_PR_PF_3901941_201909_YYYYMM GL_PR_PF_3901941_201909,Euro-Argo,4614,DC_REFERENCE DIRECTION VERTICAL_SAMPLING_SCHEME PRES TEMP PSAL,55.28359,18.59577,2021-02-08T12:14:56Z
3902100,2019-06-19T12:34:05Z,2019-11-16T07:07:44Z,3902100,GL_PR_PF_3902100_201801_YYYYMMDD GL_PR_PF_3902100_201801_YYYYMM GL_PR_PF_3902100_201801,Institute of Oceanology  Polish Academy of Sciences (IO PAS) (IO PAN),195,DC_REFERENCE DATA_MODE DIRECTION VERTICAL_SAMPLING_SCHEME PRES PRES_ADJUSTED TEMP TEMP_ADJUSTED PSAL PSAL_ADJUSTED,54.64300,14.40600,2019-11-16T07:07:44Z
3902101,2020-11-25T12:14:15Z,2020-11-29T13:48:49Z,3902101,GL_PR_PF_3902101_202002_YYYYMMDD GL_PR_PF_3902101_202002_YYYYMM GL_PR_PF_3902101_202002,Institute of Oceanology  Polish Academy of Sciences (IO PAS) (IO PAN),195,DC_REFERENCE DATA_MODE DIRECTION VERTICAL_SAMPLING_SCHEME PRES TEMP PSAL DOX2 DOX2_ADJUSTED DOX2_ADJUSTED_ERROR,54.48018,15.65335,2020-11-29T13:48:49Z
3902104,2020-07-28T12:25:14Z,2020-08-02T19:06:37Z,3902104,GL_PR_PF_3902104_201809_YYYYMMDD GL_PR_PF_3902104_201809_YYYYMM GL_PR_PF_3902104_201809,Institute of Oceanology  Polish Academy of Sciences (IO PAS) (IO PAN),195,DC_REFERENCE DATA_MODE DIRECTION VERTICAL_SAMPLING_SCHEME PRES TEMP PSAL DOX2,55.18425,15.44128,2020-08-02T19:06:37Z
3902106,2020-12-07T18:17:47Z,2020-12-13T15:15:08Z,3902106,GL_PR_PF_3902106_202003_YYYYMMDD GL_PR_PF_3902106_202003_YYYYMM GL_PR_PF_3902106_202003,Institute of Oceanology  Polish Academy of Sciences (IO PAS) (IO PAN),195,DC_REFERENCE DIRECTION VERTICAL_SAMPLING_SCHEME PRES TEMP PSAL DOX2 DOX2_ADJUSTED DOX2_ADJUSTED_ERROR,54.49692,14.55184,2020-12-13T15:15:08Z
